Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num,,,,
20157,ARTH,4929,001,,,"DE STECHER, ANNETTE",19,17,100%,5.2,0.9,5.8,0.4,7-9,4.1,5.2,5.5,4.8,5.3,6.0,SPECIAL TPCS-ART HISTORY,,,,,,,BD,AS,AH,UD,AAAH,TTT,1,,,,
20157,ARTH,4929,003,,,"ALHADEFF, ALBERT",30,20,100%,5.4,0.8,5.6,0.7,4-6,5.1,5.2,4.9,4.8,5.6,6.0,SPECIAL TPCS-ART HISTORY,,,,,,,BD,AS,AH,UD,AAAH,TTT,1,,,,
20157,ARTH,6939,002,,,"VAN LIL, KIRA",16,14,100%,4.9,1.6,4.9,1.7,4-6,4.6,4.8,4.4,4.7,4.9,5.4,GRD SEM-OPEN TPC ART HIS,,,,,,,BD,AS,AH,GR,AAAH,TTT,1,,,,
20157,ARTH,6939,003,OL,,"ALHADEFF, ALBERT",10,6,83%,4.8,0.8,4.6,1.1,7-9,3.4,4.8,3.8,4.4,4.6,3.4,GRD SEM-OPEN TPC ART HIS,,,,,,,BD,AS,AH,GR,AAAH,TTT,1,,,,
20157,ARTS,1010,003,,,"STEVENS, CHARLENE",22,19,100%,4.6,1.1,5.1,0.9,13-15,5.3,4.8,5.3,4.8,4.6,5.9,INTRO TO STUDIO ART,,,,,,,BD,AS,AH,LD,AAAH,TTT,1,,,,
20157,ARTS,1020,001,,,"BEITZ, MICHAEL",18,15,100%,5.2,0.9,5.5,0.8,7-9,4.5,5.5,4.9,4.4,4.9,5.8,INTRO TO STUDIO ART 2,,,,,,,BD,AS,AH,LD,AAAH,TTT,1,,,,
20157,ARTS,1020,002,,,"BEITZ, MICHAEL",15,12,100%,5.3,0.9,5.8,0.4,10-12,5.4,5.7,5.3,4.3,5.2,6.0,INTRO TO STUDIO ART 2,,,,,,,BD,AS,AH,LD,AAAH,TTT,1,,,,
20157,ARTS,2085,001,,,"CHAMBERLIN, H SCOTT",10,10,100%,5.8,0.4,5.8,0.6,10-12,5.8,5.9,5.9,5.3,5.5,6.0,CERAMICS 2: HANDBUILDING,,,,,,,BD,AS,AH,LD,AAAH,TTT,1,,,,
20157,ARTS,2191,001,,,"CHONG, ALBERT",14,9,100%,4.4,1.0,4.7,1.1,10-12,5.7,4.8,4.2,4.1,4.2,5.6,PHOTOGRAPHY 2,,,,,,,BD,AS,AH,LD,AAAH,TTT,1,,,,
20157,ARTS,2423,001,,,"YAZZIE, MELANIE",15,14,100%,5.6,1.1,5.7,1.1,10-12,5.4,5.6,5.5,4.6,5.5,6.0,BEGINNING SCREENPRINTING,,,,,,,BD,AS,AH,LD,AAAH,TTT,1,,,,
