"Season","Team","Position","Player","Age","MPG","G"
"2021-22","Phoenix Suns","SG","Devin Booker",25,34.5,68
"2022-23","Phoenix Suns","SG","Devin Booker",26,34.6,53
"2021-22","San Antonio Spurs","SF","Devin Vassell",21,27.3,71
"2022-23","San Antonio Spurs","SG","Devin Vassell",22,31,38
"2019-20","Charlotte Hornets","SG","Devonte' Graham",24,35.1,63
"2020-21","Charlotte Hornets","SG","Devonte' Graham",25,30.2,55
"2017-18","Atlanta Hawks","C","Dewayne Dedmon",28,24.9,62
"2018-19","Atlanta Hawks","C","Dewayne Dedmon",29,25.1,64
"2019-20","Atlanta Hawks","C","Dewayne Dedmon",30,17.6,44
"2017-18","Memphis Grizzlies","SG","Dillon Brooks",22,28.7,82
"2019-20","Memphis Grizzlies","SG","Dillon Brooks",24,28.9,73
"2020-21","Memphis Grizzlies","SF","Dillon Brooks",25,29.8,67
"2021-22","Memphis Grizzlies","SF","Dillon Brooks",26,27.7,32
"2022-23","Memphis Grizzlies","SF","Dillon Brooks",27,30.3,73
"2013-14","Dallas Mavericks","PF","Dirk Nowitzki",35,32.9,80
"2014-15","Dallas Mavericks","PF","Dirk Nowitzki",36,29.6,77
"2015-16","Dallas Mavericks","PF","Dirk Nowitzki",37,31.5,75
"2016-17","Dallas Mavericks","PF","Dirk Nowitzki",38,26.4,54
"2018-19","Dallas Mavericks","PF","Dirk Nowitzki",40,15.6,51
"2019-20","Indiana Pacers","PF","Domantas Sabonis",23,34.8,62
"2020-21","Indiana Pacers","PF","Domantas Sabonis",24,36,62
"2021-22","Sacramento Kings","PF","Domantas Sabonis",25,34.5,62
"2022-23","Sacramento Kings","C","Domantas Sabonis",26,34.6,79
"2015-16","Brooklyn Nets","PG","Donald Sloan",28,21.6,61
"2014-15","Houston Rockets","PF","Donatas Motiejunas",24,28.7,71
"2017-18","Utah Jazz","SG","Donovan Mitchell",21,33.4,79
"2018-19","Utah Jazz","SG","Donovan Mitchell",22,33.7,77
"2019-20","Utah Jazz","PG","Donovan Mitchell",23,34.3,69
"2020-21","Utah Jazz","SG","Donovan Mitchell",24,33.4,53
