"Date","Team","Acquired","Relinquished","Notes","Player","Season"
2018-01-06,"Pistons","","• Andre Drummond","bruised right rib (DTD)","Andre Drummond","2017-18"
2018-01-08,"Pistons","• Andre Drummond","","returned to lineup","Andre Drummond","2017-18"
2018-04-09,"Pistons","","• Andre Drummond","placed on IL with sore Achilles (out for season)","Andre Drummond","2017-18"
2019-01-19,"Pistons","","• Andre Drummond","placed on IL with concussion","Andre Drummond","2018-19"
2019-01-25,"Pistons","• Andre Drummond","","activated from IL","Andre Drummond","2018-19"
2019-12-14,"Pistons","","• Andre Drummond","left eye injury (DTD)","Andre Drummond","2019-20"
2019-12-18,"Pistons","• Andre Drummond","","returned to lineup","Andre Drummond","2019-20"
2020-01-22,"Pistons","","• Andre Drummond","mouth injury (DTD)","Andre Drummond","2019-20"
2020-01-25,"Pistons","• Andre Drummond","","returned to lineup","Andre Drummond","2019-20"
2020-02-26,"Cavaliers","","• Andre Drummond","placed on IL with strained left calf","Andre Drummond","2019-20"
2020-02-29,"Cavaliers","• Andre Drummond","","activated from IL","Andre Drummond","2019-20"
2020-03-02,"Cavaliers","","• Andre Drummond","strained left calf (DTD)","Andre Drummond","2019-20"
2020-03-08,"Cavaliers","• Andre Drummond","","returned to lineup","Andre Drummond","2019-20"
2021-10-24,"76ers","","• Andre Drummond","sprained right ankle (DTD)","Andre Drummond","2021-22"
2021-10-26,"76ers","• Andre Drummond","","returned to lineup","Andre Drummond","2021-22"
2021-12-19,"76ers","","• Andre Drummond","placed on IL with NBA health and safety protocols","Andre Drummond","2021-22"
2021-12-30,"76ers","• Andre Drummond","","activated from IL","Andre Drummond","2021-22"
2022-03-01,"Nets","","• Andre Drummond","sore left knee (DTD)","Andre Drummond","2021-22"
2022-03-03,"Nets","• Andre Drummond","","returned to lineup","Andre Drummond","2021-22"
2022-03-21,"Nets","","• Andre Drummond","illness (DTD)","Andre Drummond","2021-22"
2022-03-22,"Nets","• Andre Drummond","","returned to lineup","Andre Drummond","2021-22"
2013-11-23,"Warriors","","• Andre Iguodala","placed on IL with strained left hamstring","Andre Iguodala","2013-14"
2013-12-17,"Warriors","• Andre Iguodala","","activated from IL","Andre Iguodala","2013-14"
2014-03-18,"Warriors","","• Andre Iguodala","placed on IL with right knee injury","Andre Iguodala","2013-14"
2014-03-28,"Warriors","• Andre Iguodala","","activated from IL","Andre Iguodala","2013-14"
2014-04-02,"Warriors","","• Andre Iguodala","right knee injury (DNP)","Andre Iguodala","2013-14"
2014-04-11,"Warriors","","• Andre Iguodala","right knee tendinitis (DNP)","Andre Iguodala","2013-14"
2014-04-14,"Warriors","","• Andre Iguodala","placed on IL","Andre Iguodala","2013-14"
2014-04-16,"Warriors","• Andre Iguodala","","activated from IL","Andre Iguodala","2013-14"
2014-04-16,"Warriors","","• Andre Iguodala","rest (DNP)","Andre Iguodala","2013-14"
2014-11-04,"Thunder","","• Andre Roberson","sprained left foot (DTD)","Andre Roberson","2014-15"
2014-11-19,"Thunder","• Andre Roberson","","returned to lineup","Andre Roberson","2014-15"
2015-03-24,"Thunder","","• Andre Roberson","sprained left ankle (DTD)","Andre Roberson","2014-15"
2015-04-07,"Thunder","• Andre Roberson","","returned to lineup","Andre Roberson","2014-15"
2015-11-16,"Thunder","","• Andre Roberson","placed on IL with illness","Andre Roberson","2015-16"
2015-11-18,"Thunder","• Andre Roberson","","activated from IL","Andre Roberson","2015-16"
2016-01-25,"Thunder","","• Andre Roberson","sprained right knee (DTD)","Andre Roberson","2015-16"
2016-01-26,"Thunder","","• Andre Roberson","placed on IL","Andre Roberson","2015-16"
2016-02-21,"Thunder","• Andre Roberson","","activated from IL","Andre Roberson","2015-16"
2016-04-06,"Thunder","","• Andre Roberson","placed on IL","Andre Roberson","2015-16"
2016-04-09,"Thunder","• Andre Roberson","","activated from IL","Andre Roberson","2015-16"
2017-04-07,"Thunder","","• Andre Roberson","sore left knee (DTD)","Andre Roberson","2016-17"
2017-04-09,"Thunder","• Andre Roberson","","returned to lineup","Andre Roberson","2016-17"
2017-04-12,"Thunder","","• Andre Roberson","placed on IL","Andre Roberson","2016-17"
2017-12-11,"Thunder","","• Andre Roberson","placed on IL with sprained left ankle","Andre Roberson","2017-18"
2017-12-15,"Thunder","• Andre Roberson","","activated from IL","Andre Roberson","2017-18"
2017-12-31,"Thunder","","• Andre Roberson","placed on IL with patellar tendinitis in left knee","Andre Roberson","2017-18"
2018-01-17,"Thunder","• Andre Roberson","","activated from IL","Andre Roberson","2017-18"
2018-01-27,"Thunder","","• Andre Roberson","torn patellar tendon in left knee (out for season)","Andre Roberson","2017-18"
2018-01-28,"Thunder","","• Andre Roberson","surgery on left knee to repair torn patellar tendon (out for season)","Andre Roberson","2017-18"
2018-01-28,"Thunder","","• Andre Roberson","placed on IL recovering from surgery on left knee to repair torn patellar tendon (out for season)","Andre Roberson","2017-18"
2014-01-23,"Knicks","","• Andrea Bargnani","torn ligament in left elbow (out for season)","Andrea Bargnani","2013-14"
2014-01-24,"Knicks","","• Andrea Bargnani","placed on IL with torn ligament in left elbow (out for season)","Andrea Bargnani","2013-14"
2014-12-10,"Warriors","","• Andrew Bogut","placed on IL with right knee injury","Andrew Bogut","2014-15"
2015-01-07,"Warriors","• Andrew Bogut","","activated from IL","Andrew Bogut","2014-15"
2015-01-16,"Warriors","","• Andrew Bogut","placed on IL for rest","Andrew Bogut","2014-15"
2015-01-17,"Warriors","• Andrew Bogut","","activated from IL","Andrew Bogut","2014-15"
2015-01-27,"Warriors","","• Andrew Bogut","flu (DTD)","Andrew Bogut","2014-15"
2015-01-30,"Warriors","• Andrew Bogut","","returned to lineup","Andrew Bogut","2014-15"
2015-03-13,"Warriors","","• Andrew Bogut","placed on IL","Andrew Bogut","2014-15"
2015-03-14,"Warriors","• Andrew Bogut","","activated from IL","Andrew Bogut","2014-15"
2015-10-28,"Warriors","","• Andrew Bogut","concussion (DTD)","Andrew Bogut","2015-16"
2015-10-30,"Warriors","","• Andrew Bogut","placed on IL with concussion","Andrew Bogut","2015-16"
2015-11-09,"Warriors","• Andrew Bogut","","activated from IL","Andrew Bogut","2015-16"
2015-12-05,"Warriors","","• Andrew Bogut","back spasms (DTD)","Andrew Bogut","2015-16"
2015-12-06,"Warriors","• Andrew Bogut","","returned to lineup","Andrew Bogut","2015-16"
2016-02-20,"Warriors","","• Andrew Bogut","strained right Achilles (DTD)","Andrew Bogut","2015-16"
2016-02-22,"Warriors","• Andrew Bogut","","returned to lineup","Andrew Bogut","2015-16"
2016-03-19,"Warriors","","• Andrew Bogut","left foot / toe (CBC) injury (DTD)","Andrew Bogut","2015-16"
2016-03-23,"Warriors","• Andrew Bogut","","returned to lineup","Andrew Bogut","2015-16"
2016-04-03,"Warriors","","• Andrew Bogut","rib injury (DTD)","Andrew Bogut","2015-16"
2016-04-05,"Warriors","• Andrew Bogut","","returned to lineup","Andrew Bogut","2015-16"
2016-04-09,"Warriors","","• Andrew Bogut","placed on IL for rest","Andrew Bogut","2015-16"
2016-04-10,"Warriors","• Andrew Bogut","","activated from IL","Andrew Bogut","2015-16"
2018-01-05,"Grizzlies","","• Andrew Harrison","placed on IL with sore left shoulder","Andrew Harrison","2017-18"
2018-01-10,"Grizzlies","• Andrew Harrison","","activated from IL","Andrew Harrison","2017-18"
2018-01-20,"Grizzlies","","• Andrew Harrison","left shoulder injury (DTD)","Andrew Harrison","2017-18"
2018-01-22,"Grizzlies","• Andrew Harrison","","returned to lineup","Andrew Harrison","2017-18"
2018-03-02,"Grizzlies","","• Andrew Harrison","right wrist injury (DTD)","Andrew Harrison","2017-18"
2018-03-03,"Grizzlies","","• Andrew Harrison","placed on IL with right wrist injury","Andrew Harrison","2017-18"
2018-03-19,"Grizzlies","• Andrew Harrison","","activated from IL","Andrew Harrison","2017-18"
2018-03-22,"Grizzlies","","• Andrew Harrison","right wrist injury (DTD)","Andrew Harrison","2017-18"
2018-03-24,"Grizzlies","• Andrew Harrison","","returned to lineup","Andrew Harrison","2017-18"
2018-03-28,"Grizzlies","","• Andrew Harrison","right wrist injury (out for season)","Andrew Harrison","2017-18"
2018-03-30,"Grizzlies","","• Andrew Harrison","placed on IL with right wrist injury (out for season)","Andrew Harrison","2017-18"
2022-11-21,"Pacers","","• Andrew Nembhard","bruised left knee (DTD)","Andrew Nembhard","2022-23"
2022-11-28,"Pacers","• Andrew Nembhard","","returned to lineup","Andrew Nembhard","2022-23"
2023-01-24,"Pacers","","• Andrew Nembhard","placed on IL with illness","Andrew Nembhard","2022-23"
2023-01-27,"Pacers","• Andrew Nembhard","","activated from IL","Andrew Nembhard","2022-23"
2015-11-10,"Timberwolves","","• Andrew Wiggins","sore right knee (DTD)","Andrew Wiggins","2015-16"
2015-11-12,"Timberwolves","• Andrew Wiggins","","returned to lineup","Andrew Wiggins","2015-16"
2018-10-24,"Timberwolves","","• Andrew Wiggins","placed on IL with bruised right quadriceps","Andrew Wiggins","2018-19"
2018-10-31,"Timberwolves","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2018-19"
2018-11-09,"Timberwolves","","• Andrew Wiggins","placed on IL with bruised right quadriceps","Andrew Wiggins","2018-19"
2018-11-12,"Timberwolves","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2018-19"
2019-02-11,"Timberwolves","","• Andrew Wiggins","placed on IL with illness","Andrew Wiggins","2018-19"
2019-02-21,"Timberwolves","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2018-19"
2019-03-09,"Timberwolves","","• Andrew Wiggins","bruised left quadricep (DTD)","Andrew Wiggins","2018-19"
2019-03-10,"Timberwolves","","• Andrew Wiggins","placed on IL with bruised left quadricep","Andrew Wiggins","2018-19"
2019-03-14,"Timberwolves","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2018-19"
2019-11-15,"Timberwolves","","• Andrew Wiggins","placed on IL for personal reasons","Andrew Wiggins","2019-20"
2019-11-17,"Timberwolves","","• Andrew Wiggins","placed on IL with illness","Andrew Wiggins","2019-20"
2019-11-20,"Timberwolves","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2019-20"
2019-11-20,"Timberwolves","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2019-20"
2019-12-06,"Timberwolves","","• Andrew Wiggins","placed on IL with sprained left thumb","Andrew Wiggins","2019-20"
2019-12-08,"Timberwolves","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2019-20"
2019-12-28,"Timberwolves","","• Andrew Wiggins","illness (DTD)","Andrew Wiggins","2019-20"
2019-12-30,"Timberwolves","","• Andrew Wiggins","placed on IL with illness","Andrew Wiggins","2019-20"
2020-01-05,"Timberwolves","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2019-20"
2020-02-27,"Warriors","","• Andrew Wiggins","thoracic spasm (DTD)","Andrew Wiggins","2019-20"
2020-02-29,"Warriors","• Andrew Wiggins","","returned to lineup","Andrew Wiggins","2019-20"
2021-12-18,"Warriors","","• Andrew Wiggins","sore left knee (DTD)","Andrew Wiggins","2021-22"
2021-12-19,"Warriors","","• Andrew Wiggins","placed on IL with NBA health and safety protocols","Andrew Wiggins","2021-22"
2021-12-27,"Warriors","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2021-22"
2022-02-01,"Warriors","","• Andrew Wiggins","placed on IL with sore left knee","Andrew Wiggins","2021-22"
2022-02-02,"Warriors","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2021-22"
2022-03-07,"Warriors","","• Andrew Wiggins","placed on IL with sore left foot","Andrew Wiggins","2021-22"
2022-03-08,"Warriors","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2021-22"
2022-03-14,"Warriors","","• Andrew Wiggins","placed on IL with illness","Andrew Wiggins","2021-22"
2022-03-19,"Warriors","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2021-22"
2022-04-10,"Warriors","","• Andrew Wiggins","placed on IL with tightness in lower back","Andrew Wiggins","2021-22"
2022-04-15,"Warriors","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2021-22"
2022-11-21,"Warriors","","• Andrew Wiggins","sore left foot (DTD)","Andrew Wiggins","2022-23"
2022-11-23,"Warriors","• Andrew Wiggins","","returned to lineup","Andrew Wiggins","2022-23"
2022-12-05,"Warriors","","• Andrew Wiggins","placed on IL with tightness in right adductor","Andrew Wiggins","2022-23"
2023-01-07,"Warriors","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2022-23"
2023-01-25,"Warriors","","• Andrew Wiggins","placed on IL with illness","Andrew Wiggins","2022-23"
2023-01-27,"Warriors","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2022-23"
2023-02-14,"Warriors","","• Andrew Wiggins","placed on IL for personal reasons","Andrew Wiggins","2022-23"
2023-04-13,"Warriors","• Andrew Wiggins","","activated from IL","Andrew Wiggins","2022-23"
2021-11-24,"Blazers","","• Anfernee Simons","placed on IL with illness","Anfernee Simons","2021-22"
2021-11-26,"Blazers","• Anfernee Simons","","activated from IL","Anfernee Simons","2021-22"
2021-12-03,"Blazers","","• Anfernee Simons","placed on IL with sprained right ankle","Anfernee Simons","2021-22"
2021-12-12,"Blazers","• Anfernee Simons","","activated from IL","Anfernee Simons","2021-22"
2021-12-30,"Blazers","","• Anfernee Simons","placed on IL with NBA health and safety protocols","Anfernee Simons","2021-22"
2022-01-02,"Blazers","• Anfernee Simons","","activated from IL","Anfernee Simons","2021-22"
2022-01-12,"Blazers","","• Anfernee Simons","placed on IL for personal reasons","Anfernee Simons","2021-22"
2022-01-14,"Blazers","• Anfernee Simons","","activated from IL","Anfernee Simons","2021-22"
2022-03-06,"Blazers","","• Anfernee Simons","bruised left quadricep (DTD)","Anfernee Simons","2021-22"
2022-03-09,"Blazers","","• Anfernee Simons","placed on IL with bruised left quadricep","Anfernee Simons","2021-22"
2022-03-11,"Blazers","","• Anfernee Simons","placed on IL with left knee injury (out for season)","Anfernee Simons","2021-22"
2022-11-04,"Blazers","","• Anfernee Simons","placed on IL with left foot injury","Anfernee Simons","2022-23"
2022-11-07,"Blazers","• Anfernee Simons","","activated from IL","Anfernee Simons","2022-23"
2023-02-16,"Blazers","","• Anfernee Simons","placed on IL with sprained right ankle","Anfernee Simons","2022-23"
2023-03-01,"Blazers","• Anfernee Simons","","activated from IL","Anfernee Simons","2022-23"
2023-03-03,"Blazers","","• Anfernee Simons","placed on IL with sprained right ankle","Anfernee Simons","2022-23"
2023-03-10,"Blazers","• Anfernee Simons","","activated from IL","Anfernee Simons","2022-23"
2023-03-21,"Blazers","","• Anfernee Simons","placed on IL with sore right foot (out for season)","Anfernee Simons","2022-23"
2013-12-01,"Pelicans","","• Anthony Davis","fractured left hand (out indefinitely)","Anthony Davis","2013-14"
2013-12-02,"Pelicans","","• Anthony Davis","placed on IL with fractured left hand","Anthony Davis","2013-14"
2013-12-18,"Pelicans","• Anthony Davis","","activated from IL","Anthony Davis","2013-14"
2014-01-29,"Pelicans","","• Anthony Davis","finger injury (DNP)","Anthony Davis","2013-14"
2014-03-19,"Pelicans","","• Anthony Davis","upper respiratory infection (DNP)","Anthony Davis","2013-14"
2014-03-29,"Pelicans","","• Anthony Davis","left ankle injury (DNP)","Anthony Davis","2013-14"
2014-04-09,"Pelicans","","• Anthony Davis","back spasms (DNP)","Anthony Davis","2013-14"
2014-04-11,"Pelicans","","• Anthony Davis","back spasms (DNP)","Anthony Davis","2013-14"
2014-04-12,"Pelicans","","• Anthony Davis","back spasms (DNP)","Anthony Davis","2013-14"
2014-04-14,"Pelicans","","• Anthony Davis","back spasms (DNP)","Anthony Davis","2013-14"
2014-04-16,"Pelicans","","• Anthony Davis","back spasms (DNP)","Anthony Davis","2013-14"
2014-12-14,"Pelicans","","• Anthony Davis","chest injury (DTD)","Anthony Davis","2014-15"
2014-12-16,"Pelicans","• Anthony Davis","","returned to lineup","Anthony Davis","2014-15"
