"Date","MP","Rolling_Avg_MP","Season","Player","Team","Position","Age","MPG","G","Travel","Distance","Injury_Indicator","Injury_Severity","Injury_Notes","PG","SG","SF","PF","C","Is_2019_20","Is_2020_21","Is_2021_22","treatment","distance_average","Is_3rd_Game_in_4_Days","Is_4th_Game_in_5_Days","Is_5th_Game_in_7_Days","Season_Phase","Early_Treatment","Mid_Treatment","Late_Treatment","Total_Early_Treatment","Total_Mid_Treatment","Total_Late_Treatment","Rows_In_Phase","Total_Games","Frequency_Early","Frequency_Mid","Frequency_Late","Total_Treatment_Frequency"
2021-11-27,27.4666666666667,28.7233333333333,"2021-22","Bojan Bogdanovic","Utah Jazz","SF",32,30.9,69,0,0,0,0,"",0,0,1,0,0,0,0,1,0,432,1,0,0,"Early",0,0,0,0,0,0,4,12,0,0.4,0.333333333333333,0.25
2019-11-27,39.7,39.6133333333333,"2019-20","Bradley Beal","Washington Wizards","PG",26,36,57,1,587,0,0,"",1,0,0,0,0,1,0,0,0,1035.5,1,0,0,"Early",0,0,0,0,0,0,3,8,0,0,0,0
2022-11-05,23.7,31.3433333333333,"2022-23","Brook Lopez","Milwaukee Bucks","C",34,30.4,78,1,294,0,0,"",0,0,0,0,1,0,0,0,0,294,1,0,0,"Early",0,0,0,0,0,0,3,13,0,0,0,0
2023-03-25,28.5,29.73,"2022-23","Buddy Hield","Indiana Pacers","SF",30,31,80,1,938,1,6,"placed on IL with illness",0,0,1,0,0,0,0,0,0,685,1,0,0,"Late",0,0,0,0,0,0,3,14,0,0,0,0
2021-05-03,32.4,33.68,"2020-21","C.J. McCollum","Portland Trail Blazers","SG",29,34,47,1,938,0,0,"",0,1,0,0,0,0,1,0,0,564,1,0,1,"Late",0,0,0,0,0,0,7,10,0,0,0,0
2020-01-18,32.3166666666667,32.6433333333333,"2019-20","Carmelo Anthony","Portland Trail Blazers","PF",35,32.8,58,1,190,0,0,"",0,0,0,1,0,1,0,0,0,207,1,0,0,"Mid",0,0,0,1,0,0,1,7,0.5,0,0.25,0.285714285714286
2021-02-20,22.4833333333333,25.9366666666667,"2020-21","Chris Paul","Phoenix Suns","PG",35,31.4,70,1,348,0,0,"",1,0,0,0,0,0,1,0,0,834,0,0,0,"Mid",0,0,0,1,0,0,5,17,0.166666666666667,0,0.166666666666667,0.117647058823529
2018-01-31,29.3166666666667,33.7033333333333,"2017-18","Courtney Lee","New York Knicks","PG",32,30.4,76,1,190,0,0,"",1,0,0,0,0,0,0,0,0,1165.5,0,0,0,"Mid",0,0,0,0,0,0,6,14,0,0,0,0
2018-03-28,0,36.31,"2017-18","Damian Lillard","Portland Trail Blazers","PG",27,36.6,73,0,0,0,0,"",1,0,0,0,0,0,0,0,1,577,1,0,0,"Late",0,0,1,0,0,1,5,12,0,0,0.2,0.0833333333333333
2018-10-20,30.9333333333333,32.75,"2018-19","Danny Green","Toronto Raptors","SG",31,27.7,80,1,350,0,0,"",0,1,0,0,0,0,0,0,0,175,1,0,0,"Early",0,0,0,0,0,0,5,12,0,0.2,0,0.0833333333333333
2021-04-21,28.5333333333333,12.7933333333333,"2020-21","DeAndre Jordan","Brooklyn Nets","C",32,21.9,57,1,473,0,0,"",0,0,0,0,1,0,1,0,0,568,0,0,0,"Late",0,0,0,0,0,0,2,9,0,0,0,0
2018-11-15,40.85,36.77,"2018-19","DeMar DeRozan","San Antonio Spurs","SF",29,34.9,77,1,366,0,0,"",0,0,1,0,0,0,0,0,0,497.5,1,0,0,"Early",0,0,0,0,0,0,5,11,0,0,0,0
2021-11-27,31.7666666666667,33.2833333333333,"2021-22","Devin Booker","Phoenix Suns","SG",25,34.5,68,0,0,0,0,"",0,1,0,0,0,0,0,1,0,203.5,1,0,1,"Early",0,0,0,0,0,0,4,11,0,0,0.2,0.0909090909090909
2018-10-29,25.1166666666667,30.8466666666667,"2018-19","Draymond Green","Golden State Warriors","PF",28,31.3,66,1,718,0,0,"",0,0,0,1,0,0,0,0,0,359,1,0,0,"Early",0,0,0,0,0,0,3,11,0.333333333333333,0,0.166666666666667,0.181818181818182
2021-12-23,29.2666666666667,23.5,"2021-22","Eric Gordon","Houston Rockets","SF",33,29.3,57,1,246,0,0,"",0,0,1,0,0,0,0,1,0,166,1,0,0,"Mid",0,0,0,3,1,0,5,11,1,0.6,1,0.818181818181818
2019-04-07,24.6,25.9066666666667,"2018-19","Giannis Antetokounmpo","Milwaukee Bucks","PF",24,32.8,72,0,0,0,0,"",0,0,0,1,0,0,0,0,1,0,1,0,0,"Late",0,0,1,1,0,3,5,12,0.25,0,0.6,0.333333333333333
